id,type,domain,expected_source,expected_alignment,query,answer,reference,latency,decomp_score,crossref_score,currency_score,error,faithfulness,context_precision
A01,type_a,labor,domestic,no_international,Hợp đồng lao động phải có những nội dung gì theo quy định hiện hành?,"Theo quy định hiện hành, hợp đồng lao động phải có những nội dung chủ yếu sau đây:

- Tên và địa chỉ người sử dụng lao động hoặc của người đại diện hợp pháp;
- Họ tên, ngày tháng năm sinh, giới tính, địa chỉ nơi cư trú, số chứng minh nhân dân hoặc giấy tờ hợp pháp khác của người lao động;
- Công việc phải làm;
- Thời giờ làm việc, thời giờ nghỉ ngơi;
- Tiền lương;
- Địa điểm làm việc;
- Thời hạn hợp đồng;
- Điều kiện về an toàn lao động, vệ sinh lao động;
- Bảo hiểm xã hội;
- Điều kiện ăn, ở của người lao động (nếu có);
- Tiền tàu xe về nơi cư trú khi chấm dứt hợp đồng lao động đúng thời hạn.

Những thông tin này cần được ghi rõ trong hợp đồng lao động để đảm bảo quyền và lợi ích của cả người sử dụng lao động và người lao động.","Theo Điều 21 Bộ luật Lao động 2019, hợp đồng lao động phải có các nội dung chủ yếu: tên địa chỉ người sử dụng lao động, thông tin người lao động, công việc và địa điểm làm việc, thời hạn hợp đồng, mức lương và hình thức trả lương, thời giờ làm việc và nghỉ ngơi, bảo hiểm xã hội, đào tạo bồi dưỡng.",4.32,,,,,0.9583333333333334,0.6388888888675925
A02,type_a,labor,domestic,no_international,Thời gian thử việc tối đa theo pháp luật lao động Việt Nam là bao lâu?,"Thời gian thử việc tối đa theo pháp luật lao động Việt Nam được quy định như sau:

- Không quá 60 ngày đối với công việc có chức danh nghề cần trình độ chuyên môn, kỹ thuật từ cao đẳng trở lên.

- Không quá 30 ngày đối với những công việc phức tạp về quản lý, kỹ thuật, nghiệp vụ.

- Không quá 5 ngày đối với những công việc giản đơn.

- Không quá 06 ngày làm việc đối với trường hợp thử việc (không tính ngày nghỉ lễ, nghỉ Tết, ngày nghỉ hàng tuần).

Do đó, thời gian thử việc tối đa là 60 ngày.","Theo Bộ luật Lao động 2019, thời gian thử việc không quá 180 ngày với công việc của người quản lý doanh nghiệp, không quá 60 ngày với công việc có chức danh nghề nghiệp cần trình độ chuyên môn kỹ thuật từ cao đẳng trở lên, không quá 30 ngày với các trường hợp còn lại.",3.11,,,,,0.8,0.49999999995
A03,type_a,labor,domestic,no_international,Người lao động có quyền đơn phương chấm dứt hợp đồng lao động không xác định thời hạn trong trường hợp nào?,"Người lao động có quyền đơn phương chấm dứt hợp đồng lao động không xác định thời hạn trong các trường hợp sau:

- Không được bố trí theo đúng hợp đồng lao động;

- Không được trả lương đủ, đúng thời hạn;

- Bị ngược đãi; 

- Bị quấy rối tình dục tại nơi làm việc;

- Đặt gia đình vào tình huống nguy hiểm; 

- Người lao động ốm đau, tai nạn bệnh nghề nghiệp  quy định tại khoản 1 Điều 39 của Bộ luật Lao động.","Theo Bộ luật Lao động 2019, người lao động làm việc theo hợp đồng không xác định thời hạn có quyền đơn phương chấm dứt hợp đồng nhưng phải báo trước ít nhất 45 ngày.",2.95,,,,,0.0,0.0
A04,type_a,labor,domestic,no_international,Mức lương tối thiểu vùng được quy định như thế nào?,Không có thông tin về mức lương tối thiểu vùng trong văn bản trên.,"Lương tối thiểu vùng được Chính phủ quy định và điều chỉnh định kỳ trên cơ sở khuyến nghị của Hội đồng tiền lương quốc gia, áp dụng theo 4 vùng khác nhau tùy theo điều kiện kinh tế xã hội của từng địa phương.",2.71,,,,,1.0,0.0
A05,type_a,labor,domestic,no_international,Thời giờ làm việc bình thường của người lao động theo quy định là bao nhiêu giờ?,Thời giờ làm việc bình thường không quá 08 giờ trong 01 ngày và 48 giờ trong 01 tuần.,"Theo Bộ luật Lao động 2019, thời giờ làm việc bình thường không quá 8 giờ trong 1 ngày và không quá 48 giờ trong 1 tuần.",2.65,,,,,1.0,0.99999999995
A06,type_a,food_safety,domestic,no_international,Điều kiện bảo đảm an toàn thực phẩm trong sản xuất thực phẩm là gì?,"Điều kiện bảo đảm an toàn thực phẩm trong sản xuất thực phẩm bao gồm: 

- Có địa điểm, diện tích thích hợp, có khoảng cách an toàn đối với nguồn gây độc hại, nguồn gây ô nhiễm và các yếu tố gây hại khác.

- Đáp ứng quy chuẩn kỹ thuật tương ứng, tuân thủ quy định về giới hạn vi sinh vật gây bệnh, dư lượng thuốc bảo vệ thực vật, dư lượng thuốc thú y, kim loại nặng, tác nhân gây ô nhiễm và các chất khác trong thực phẩm có thể gây hại đến sức khỏe con người.

- Cơ sở sản xuất thực phẩm bảo vệ sức khỏe phải đáp ứng điều kiện chung về bảo đảm an toàn thực phẩm 

- Cơ sở sản xuất, kinh doanh thực phẩm nhỏ lẻ phải có khoảng cách an toàn đối với nguồn gây độc hại, nguồn gây ô nhiễm; có đủ nước đạt quy chuẩn kỹ thuật để sử dụng trong sản xuất, kinh doanh thực phẩm.","Theo Luật An toàn thực phẩm, cơ sở sản xuất thực phẩm phải có địa điểm, diện tích thích hợp, có khoảng cách an toàn với nguồn ô nhiễm; có đủ nước sạch; có trang thiết bị phù hợp; đảm bảo điều kiện vệ sinh; có người quản lý đủ năng lực.",3.07,,,,,,0.6999999999766667
A07,type_a,food_safety,domestic,no_international,Cơ sở sản xuất thực phẩm có cần được cấp Giấy chứng nhận đủ điều kiện an toàn thực phẩm không?,"Có, cơ sở sản xuất thực phẩm cần được cấp Giấy chứng nhận đủ điều kiện an toàn thực phẩm khi hoạt động, trừ một số trường hợp cụ thể được quy định tại khoản 1 Điều 12 Nghị định.","Theo Luật An toàn thực phẩm và Nghị định 15/2018, cơ sở sản xuất, kinh doanh thực phẩm phải có Giấy chứng nhận cơ sở đủ điều kiện an toàn thực phẩm, trừ một số trường hợp được miễn theo quy định.",2.75,,,,,,0.8874999999778125
A08,type_a,food_safety,domestic,no_international,Quy định về ghi nhãn thực phẩm bao gồm những nội dung gì?,"Quy định về ghi nhãn thực phẩm bao gồm những nội dung sau:

- Tên sản phẩm 
- Thành phần cấu tạo 
- Định lượng sản phẩm 
- Ngày sản xuất 
- Thời hạn sử dụng và hướng dẫn bảo quản 
- Hướng dẫn sử dụng 
- Tên và địa chỉ của tổ chức, cá nhân chịu trách nhiệm về sản phẩm 
- Xuất xứ 
- Số Giấy Tiếp nhận bản công bố 

Ngoài ra, còn có các quy định khác đối với thực phẩm chức năng và yêu cầu về ghi nhãn sản phẩm nói chung, như:

- Thông tin trên nhãn phải trung thực và không gây hiểu nhầm 
- Không được ghi những lời lẽ, ký hiệu, họa tiết đề cập đến công dụng không đúng của sản phẩm.","Nhãn thực phẩm phải ghi tên thực phẩm, thành phần, hàm lượng tịnh, ngày sản xuất, hạn sử dụng, hướng dẫn bảo quản và sử dụng, tên và địa chỉ cơ sở sản xuất, xuất xứ hàng hóa.",3.12,,,,,1.0,0.5833333333041666
A09,type_a,food_safety,domestic,no_international,Thực phẩm nhập khẩu vào Việt Nam phải đáp ứng những yêu cầu gì?,"Thực phẩm nhập khẩu vào Việt Nam phải đáp ứng những yêu cầu như sau:

- Đảm bảo chất lượng, vệ sinh an toàn theo quy định của pháp luật Việt Nam.

- Cơ sở nhập khẩu thực phẩm phải chịu trách nhiệm về chất lượng, vệ sinh an toàn của thực phẩm nhập khẩu.

- Phải được cấp giấy chứng nhận công bố tiêu chuẩn sản phẩm.

- Có giấy xác nhận đã kiểm tra đạt yêu cầu vệ sinh an toàn thực phẩm của cơ quan có thẩm quyền.

- Được cơ quan kiểm tra nhà nước cấp một trong các giấy tờ sau: Thông báo thực phẩm đạt yêu cầu nhập khẩu; Thông báo kết quả kiểm tra.

- Đáp ứng các điều kiện tương ứng quy định tại Chương III của Luật An toàn thực phẩm và các điều kiện sau: 

  + Phải được sản xuất tại quốc gia được cơ quan có thẩm quyền của Việt Nam công nhận đáp ứng đầy đủ các yêu cầu về bảo đảm an toàn thực phẩm.

  + Bao gói hoặc chứa đựng trong các包裝 đáp ứng yêu cầu về vệ sinh an toàn thực phẩm.","Thực phẩm nhập khẩu phải đáp ứng yêu cầu an toàn thực phẩm của Việt Nam và được kiểm tra nhà nước về an toàn thực phẩm tại cửa khẩu, phải có đầy đủ giấy tờ chứng minh xuất xứ và kiểm dịch.",3.1,,,,,1.0,0.99999999998
A10,type_a,food_safety,domestic,no_international,Phụ gia thực phẩm được sử dụng trong sản xuất thực phẩm phải tuân thủ những quy định gì?,"Phụ gia thực phẩm được sử dụng trong sản xuất thực phẩm phải tuân thủ những quy định sau:

- Sử dụng phụ gia thực phẩm trong thực phẩm phải bảo đảm: 

  - Phụ gia thực phẩm được phép sử dụng và đúng đối tượng thực phẩm;
  
  - Không vượt quá mức sử dụng tối đa đối với một loại thực phẩm hoặc nhóm thực phẩm;
  
  - Hạn chế đến mức thấp nhất lượng phụ gia thực phẩm cần thiết để đạt được hiệu quả mong muốn.

- Phụ gia thực phẩm có trong thực phẩm do được mang vào từ các nguyên liệu hoặc thành phần để sản xuất thực phẩm phải đáp ứng các yêu cầu: 

  - Được phép sử dụng.
  
  - Không vượt quá mức sử dụng tối đa đối với một loại thực phẩm hoặc nhóm thực phẩm.

- Cơ sở sản xuất, kinh doanh phụ gia thực phẩm phải đáp ứng đầy đủ các yêu cầu được quy định tại Thông tư số 16/2012/TT-BYT ngày 22 tháng 10 năm 2012 của Bộ Y tế về việc Quy định điều kiện an toàn thực phẩm đối với cơ sở sản xuất, kinh doanh thực phẩm.

- Không được sử dụng nguyên liệu là các phẩm mầu, chất ngọt tổng hợp, chất bảo quản và các chất phụ gia khác không nằm trong danh mục phụ gia thực phẩm do Bộ Y tế quy định để chế biến thực phẩm.

- Chỉ sử dụng phụ gia thực phẩm khi có nhu cầu công nghệ và phải tuân theo quy định về các phụ gia thực phẩm được phép sử dụng trong sản xuất thực phẩm.","Chỉ được sử dụng phụ gia thực phẩm trong danh mục được phép sử dụng do Bộ Y tế ban hành, đúng đối tượng thực phẩm, đúng liều lượng và phải ghi rõ trên nhãn.",3.47,,,,,0.875,
