id,type,domain,expected_source,expected_alignment,query,answer,reference,latency,decomp_score,crossref_score,currency_score,error,faithfulness,context_precision
A01,type_a,labor,domestic,no_international,Hợp đồng lao động phải có những nội dung gì theo quy định hiện hành?,"<think>
Okay, let's tackle this question about the essential contents of a labor contract according to current regulations in Vietnam. The user provided several legal provisions from different laws and decrees, so I need to parse through them carefully.

First, I'll look at each of the mentioned articles. Article 23 mentions the names and addresses of the employer and legal representative, as well as the employee's personal details like name, birthdate, gender, residence, and ID number. Then, Article 29 adds job duties, working hours, rest times, salary, work location, contract duration, safety, hygiene, and social insurance. Article 7 refers to Article 23 again and adds conditions for food and accommodation if applicable, transportation costs upon contract termination, and time-related points. Article 3 seems to reiterate the information about the employer's name and address and the employee's details. Article 6 also talks about personal information of both parties, including passport numbers if applicable.

I need to consolidate all these elements without duplication. The key points from each article are:

- Employer's name, address, legal representative.
- Employee's personal info: name, birthdate, gender, residence, ID/passport.
- Job description, work hours, rest periods, salary, work location, contract term.
- Safety, hygiene, social insurance.
- Accommodation/food conditions if any.
- Transportation costs upon termination.
- Other specific terms as per regulations.

I should check if there's any overlap or if some articles are from different legal documents. For example, Article 23 is from the Labor Code, while Article 6 references a decree (NĐ-CP). The user might be combining different sources, so the answer should integrate all required elements from both the Labor Code and relevant decrees.

Also, need to ensure that all mandatory elements are covered. The user's question is about current regulations, so the answer should reflect the latest applicable laws. Since the provided articles are from different sources, the answer should list all the mandatory components mentioned across these provisions, ensuring nothing is missed.

Finally, present the answer in a clear, structured manner, grouping similar items together and using bullet points or numbered lists for clarity.
</think>

Theo quy định hiện hành, hợp đồng lao động phải có những nội dung chủ yếu sau đây (tổng hợp từ các điều luật được trích dẫn):

1. **Thông tin các bên**:  
   - Tên, địa chỉ người sử dụng lao động (hoặc người đại diện hợp pháp).  
   - Họ tên, ngày tháng năm sinh, giới tính, địa chỉ cư trú, số chứng minh nhân dân/hộ chiếu của người lao động.  

2. **Nội dung công việc và điều kiện làm việc**:  
   - Công việc phải làm, địa điểm làm việc.  
   - Thời giờ làm việc, thời giờ nghỉ ngơi.  
   - Tiền lương, phương thức thanh toán.  
   - Thời hạn hợp đồng (hợp đồng xác định thời hạn hoặc không xác định thời hạn).  

3. **Bảo đảm pháp lý và quyền lợi**:  
   - Điều kiện an toàn lao động, vệ sinh lao động.  
   - Bảo hiểm xã hội, bảo hiểm y tế, bảo hiểm thất nghiệp (nếu có).  

4. **Các điều khoản bổ sung (nếu có)**:  
   - Điều kiện ăn, ở cho người lao động (nếu người sử dụng lao động cung cấp).  
   - Tiền tàu xe đưa người lao động về nơi cư trú khi chấm dứt hợp đồng đúng thời hạn.  
   - Các thỏa thuận khác phù hợp với quy định pháp luật (ví dụ: chế độ đào tạo, kỷ luật, giải quyết tranh chấp...).  

**Lưu ý**:  
- Các nội dung bắt buộc phải được ghi rõ trong hợp đồng lao động theo quy định tại **Điều 23, 29 Bộ luật Lao động 2019** và **Nghị định 27/2014/NĐ-CP**.  
- Hợp đồng lao động phải được lập thành văn bản, trừ trường hợp lao động làm việc theo hợp đồng không xác định thời hạn mà hai bên thỏa thuận bằng lời nói (theo quy định cụ thể).  

Việc thiếu hoặc vi phạm các nội dung bắt buộc có thể dẫn đến hợp đồng lao động vô hiệu hoặc bị xử lý vi phạm hành chính theo quy định pháp luật.","Theo Điều 21 Bộ luật Lao động 2019, hợp đồng lao động phải có các nội dung chủ yếu: tên địa chỉ người sử dụng lao động, thông tin người lao động, công việc và địa điểm làm việc, thời hạn hợp đồng, mức lương và hình thức trả lương, thời giờ làm việc và nghỉ ngơi, bảo hiểm xã hội, đào tạo bồi dưỡng.",4.9,,,,,,0.249999999975
A02,type_a,labor,domestic,no_international,Thời gian thử việc tối đa theo pháp luật lao động Việt Nam là bao lâu?,"Thời gian thử việc tối đa theo pháp luật lao động Việt Nam là 60 ngày đối với công việc có chức danh nghề cần trình độ chuyên môn, kỹ thuật từ cao đẳng trở lên.","Theo Bộ luật Lao động 2019, thời gian thử việc không quá 180 ngày với công việc của người quản lý doanh nghiệp, không quá 60 ngày với công việc có chức danh nghề nghiệp cần trình độ chuyên môn kỹ thuật từ cao đẳng trở lên, không quá 30 ngày với các trường hợp còn lại.",2.87,,,,,,0.3333333333
A03,type_a,labor,domestic,no_international,Người lao động có quyền đơn phương chấm dứt hợp đồng lao động không xác định thời hạn trong trường hợp nào?,"Người lao động có quyền đơn phương chấm dứt hợp đồng lao động không xác định thời hạn trong các trường hợp sau:

- Không được bố trí theo đúng hợp đồng lao động;

- Không được trả lương đủ hoặc đúng hạn;

- Bị ngược đãi; 

- Bị đánh đập hoặc có lời nói, hành vi nhục mạ, hành vi làm ảnh hưởng đến sức khoẻ, danh dự, nhân phẩm của mình; 

- Thực hiện công việc bị hiếp bức, bị bóc lột sức lao động;

- Lao động nữ mang thai có lý do phải nghỉ việc;

- Có đủ tuổi nghỉ hưu theo quy định của pháp luật; 

- Người lao động ốm đau, tai nạn lao động, bệnh nghề nghiệp hoặc bị ốm đau, tai nạn mà không phải là tai nạn lao động, bệnh nghề nghiệp do người sử dụng lao động yêu cầu; 

- Người lao động có quyền đơn phương chấm dứt hợp đồng lao động khi người sử dụng lao động không cung cấp thông tin về nội dung bảo hiểm xã hội, bảo hiểm y tế, bảo hiểm thất nghiệp cho mình.","Theo Bộ luật Lao động 2019, người lao động làm việc theo hợp đồng không xác định thời hạn có quyền đơn phương chấm dứt hợp đồng nhưng phải báo trước ít nhất 45 ngày.",3.33,,,,,0.1111111111111111,0.0
A04,type_a,labor,domestic,no_international,Mức lương tối thiểu vùng được quy định như thế nào?,Không có thông tin về mức lương tối thiểu vùng trong đoạn văn trên.,"Lương tối thiểu vùng được Chính phủ quy định và điều chỉnh định kỳ trên cơ sở khuyến nghị của Hội đồng tiền lương quốc gia, áp dụng theo 4 vùng khác nhau tùy theo điều kiện kinh tế xã hội của từng địa phương.",2.96,,,,,1.0,0.0
A05,type_a,labor,domestic,no_international,Thời giờ làm việc bình thường của người lao động theo quy định là bao nhiêu giờ?,Thời giờ làm việc bình thường không quá 08 giờ trong 01 ngày và 48 giờ trong 01 tuần.,"Theo Bộ luật Lao động 2019, thời giờ làm việc bình thường không quá 8 giờ trong 1 ngày và không quá 48 giờ trong 1 tuần.",2.97,,,,,1.0,0.99999999995
A06,type_a,food_safety,domestic,no_international,Điều kiện bảo đảm an toàn thực phẩm trong sản xuất thực phẩm là gì?,"Điều kiện bảo đảm an toàn thực phẩm trong sản xuất thực phẩm bao gồm:

- Khu vực sản xuất thực phẩm phải được bố trí tại địa điểm không bị ngập nước, đọng nước, ô nhiễm bụi, hóa chất độc hại, không bị ảnh hưởng bởi động vật, côn trùng, vi sinh vật gây hại và có khoảng cách an toàn với các nguồn gây độc hại, nguồn gây ô nhiễm và các yếu tố gây hại khác.

- Cơ sở sản xuất, kinh doanh thực phẩm phải có địa điểm, diện tích thích hợp, có khoảng cách an toàn đối với nguồn gây độc hại, nguồn gây ô nhiễm và các yếu tố gây hại khác.

- Cơ sở sản xuất, kinh doanh thực phẩm nhỏ lẻ phải có khoảng cách an toàn đối với nguồn gây độc hại, nguồn gây ô nhiễm và có đủ nước đạt quy chuẩn kỹ thuật.

- Cơ sở sản xuất thực phẩm tươi sống phải bảo đảm các điều kiện về đất canh tác, nguồn nước, địa điểm sản xuất để sản xuất thực phẩm an toàn.

- Cơ sở sản xuất thực phẩm bảo vệ sức khỏe phải đáp ứng điều kiện chung về bảo đảm an toàn thực phẩm được quy định tại khoản 1 Điều 19, khoản 1 Điều 20, khoản 1 Điều 21 Luật an toàn thực phẩm và những quy định cụ thể khác.","Theo Luật An toàn thực phẩm, cơ sở sản xuất thực phẩm phải có địa điểm, diện tích thích hợp, có khoảng cách an toàn với nguồn ô nhiễm; có đủ nước sạch; có trang thiết bị phù hợp; đảm bảo điều kiện vệ sinh; có người quản lý đủ năng lực.",3.41,,,,,1.0,0.4777777777618519
A07,type_a,food_safety,domestic,no_international,Cơ sở sản xuất thực phẩm có cần được cấp Giấy chứng nhận đủ điều kiện an toàn thực phẩm không?,"Có, cơ sở sản xuất thực phẩm phải có Giấy chứng nhận cơ sở đủ điều kiện an toàn thực phẩm khi hoạt động, trừ một số trường hợp cụ thể được quy định trong các điều luật liên quan.","Theo Luật An toàn thực phẩm và Nghị định 15/2018, cơ sở sản xuất, kinh doanh thực phẩm phải có Giấy chứng nhận cơ sở đủ điều kiện an toàn thực phẩm, trừ một số trường hợp được miễn theo quy định.",2.93,,,,,0.6666666666666666,
A08,type_a,food_safety,domestic,no_international,Quy định về ghi nhãn thực phẩm bao gồm những nội dung gì?,"Quy định về ghi nhãn thực phẩm bao gồm những nội dung sau:

- Việc ghi nhãn thực phẩm phải tuân thủ ""Quy chế ghi nhãn hàng hoá lưu thông trong nước và hàng hoá xuất khẩu, nhập khẩu"" 
- Nghiêm cấm việc tự thay đổi nhãn thực phẩm, thay đổi hạn sử dụng.
- Thực phẩm đóng gói sẵn phải được ghi nhãn thực phẩm, ghi đầy đủ, chính xác, rõ ràng, trung thực về thành phần thực phẩm và các nội dung khác theo quy định của pháp luật; 
- Không được ghi trên nhãn thực phẩm dưới bất kỳ hình thức nào về thực phẩm có công hiệu thay thế thuốc chữa bệnh.
- Các thực phẩm bao gói sẵn phải bắt buộc ghi nhãn 
- Tùy từng loại thực phẩm bao gói sẵn, ngoài các quy định tại Khoản 1 Điều này, nội dung bắt buộc ghi nhãn còn phải đáp ứng một số quy định 
- Thông tin bắt buộc ghi nhãn còn phải đáp ứng một số quy định đối với thực phẩm chức năng. 
- Tổ chức, cá nhân sản xuất, nhập khẩu thực phẩm, phụ gia thực phẩm, chất hỗ trợ chế biến thực phẩm tại Việt Nam phải thực hiện việc ghi nhãn thực phẩm theo quy định của pháp luật về nhãn hàng hóa.","Nhãn thực phẩm phải ghi tên thực phẩm, thành phần, hàm lượng tịnh, ngày sản xuất, hạn sử dụng, hướng dẫn bảo quản và sử dụng, tên và địa chỉ cơ sở sản xuất, xuất xứ hàng hóa.",3.33,,,,,1.0,0.32499999998375
A09,type_a,food_safety,domestic,no_international,Thực phẩm nhập khẩu vào Việt Nam phải đáp ứng những yêu cầu gì?,"Thực phẩm nhập khẩu vào Việt Nam phải đáp ứng những yêu cầu sau:

- Đáp ứng các yêu cầu về chất lượng, vệ sinh an toàn thực phẩm theo quy định của pháp luật Việt Nam.
- Sản xuất tại quốc gia được cơ quan có thẩm quyền của Việt Nam công nhận đáp ứng đầy đủ các yêu cầu về bảo đảm an toàn vệ sinh thực phẩm (ATTP) hàng hóa theo quy định của Việt Nam.
- Được cấp giấy chứng nhận công bố tiêu chuẩn sản phẩm.
- Có giấy xác nhận đã kiểm tra đạt yêu cầu vệ sinh an toàn thực phẩm của cơ quan có thẩm quyền.
- Được cơ quan kiểm tra nhà nước cấp một trong các giấy tờ sau: Thông báo thực phẩm đạt yêu cầu nhập khẩu hoặc giấy chứng nhận khác. 

Bao gói hoặc chứa đựng trong các bao bì đảm bảo vệ sinh.","Thực phẩm nhập khẩu phải đáp ứng yêu cầu an toàn thực phẩm của Việt Nam và được kiểm tra nhà nước về an toàn thực phẩm tại cửa khẩu, phải có đầy đủ giấy tờ chứng minh xuất xứ và kiểm dịch.",3.16,,,,,0.875,
A10,type_a,food_safety,domestic,no_international,Phụ gia thực phẩm được sử dụng trong sản xuất thực phẩm phải tuân thủ những quy định gì?,"Phụ gia thực phẩm được sử dụng trong sản xuất thực phẩm phải tuân thủ các quy định sau:

- Sử dụng phụ gia thực phẩm trong thực phẩm phải bảo đảm:
  - Phụ gia thực phẩm được phép sử dụng và đúng đối tượng thực phẩm;
  - Không vượt quá mức sử dụng tối đa đối với một loại thực phẩm hoặc nhóm thực phẩm;
  - Hạn chế đến mức thấp nhất lượng phụ gia thực phẩm.

- Chỉ được sử dụng phụ gia thực phẩm trong danh mục các chất phụ gia được phép sử dụng trong thực phẩm do Bộ Y tế quy định.

- Cơ sở sản xuất, kinh doanh phụ gia thực phẩm phải đáp ứng đầy đủ các yêu cầu được quy định.

- Tuân thủ các điều kiện quy định về điều kiện bảo đảm an toàn thực phẩm đối với phụ gia thực phẩm.

- Việc sử dụng nguyên liệu và bao bì chứa đựng dùng trong sản xuất phụ gia thực phẩm, chất hỗ trợ chế biến thực phẩm phải đáp ứng các yêu cầu.","Chỉ được sử dụng phụ gia thực phẩm trong danh mục được phép sử dụng do Bộ Y tế ban hành, đúng đối tượng thực phẩm, đúng liều lượng và phải ghi rõ trên nhãn.",3.37,,,,,1.0,0.8666666666377778
